timestamp,target_1d_price,target_3d_price,target_7d_price
2024-10-13,66046.125,67612.71875,69001.703125
2024-10-14,67041.109375,67399.8359375,67367.8515625
2024-10-15,67612.71875,68418.7890625,67361.40625
2024-10-16,67399.8359375,68362.734375,66432.1953125
2024-10-17,68418.7890625,69001.703125,68161.0546875
2024-10-18,68362.734375,67367.8515625,66642.4140625
2024-10-19,69001.703125,67361.40625,67014.6953125
2024-10-20,67367.8515625,66432.1953125,67929.296875
2024-10-21,67361.40625,68161.0546875,69907.7578125
2024-10-22,66432.1953125,66642.4140625,72720.4921875
2024-10-23,68161.0546875,67014.6953125,72339.5390625
2024-10-24,66642.4140625,67929.296875,70215.1875
2024-10-25,67014.6953125,69907.7578125,69482.46875
2024-10-26,67929.296875,72720.4921875,69289.2734375
2024-10-27,69907.7578125,72339.5390625,68741.1171875
2024-10-28,72720.4921875,70215.1875,67811.5078125
2024-10-29,72339.5390625,69482.46875,69359.5625
2024-10-30,70215.1875,69289.2734375,75639.078125
2024-10-31,69482.46875,68741.1171875,75904.859375
2024-11-01,69289.2734375,67811.5078125,76545.4765625
2024-11-02,68741.1171875,69359.5625,76778.8671875
2024-11-03,67811.5078125,75639.078125,80474.1875
2024-11-04,69359.5625,75904.859375,88701.484375
2024-11-05,75639.078125,76545.4765625,87955.8125
2024-11-06,75904.859375,76778.8671875,90584.1640625
2024-11-07,76545.4765625,80474.1875,87250.4296875
2024-11-08,76778.8671875,88701.484375,91066.0078125
2024-11-09,80474.1875,87955.8125,90558.4765625
2024-11-10,88701.484375,90584.1640625,89845.8515625
2024-11-11,87955.8125,87250.4296875,90542.640625
2024-11-12,90584.1640625,91066.0078125,92343.7890625
2024-11-13,87250.4296875,90558.4765625,94339.4921875
2024-11-14,91066.0078125,89845.8515625,98504.7265625
2024-11-15,90558.4765625,90542.640625,98997.6640625
2024-11-16,89845.8515625,92343.7890625,97777.28125
2024-11-17,90542.640625,94339.4921875,98013.8203125
2024-11-18,92343.7890625,98504.7265625,93102.296875
2024-11-19,94339.4921875,98997.6640625,91985.3203125
2024-11-20,98504.7265625,97777.28125,95962.53125
2024-11-21,98997.6640625,98013.8203125,95652.46875
2024-11-22,97777.28125,93102.296875,97461.5234375
2024-11-23,98013.8203125,91985.3203125,96449.0546875
2024-11-24,93102.296875,95962.53125,97279.7890625
2024-11-25,91985.3203125,95652.46875,95865.3046875
2024-11-26,95962.53125,97461.5234375,96002.1640625
2024-11-27,95652.46875,96449.0546875,98768.53125
2024-11-28,97461.5234375,97279.7890625,96593.5703125
